LOCA	num.tree2	num.trap	parcelle	idtrap	strate	Cis.boleti	Mycetochara.maura	Quedius.dilatatus	Anaspis.garneysi	Anaspis.regimbarti	Ischnomera.caerulea	Dicerca.alni	Ampedus.sanguinolentus	Sulcacis.nitidus	Dissoleucas.niveirostris	Valgus.hemipterus	Sulcacis.fronticornis	Variimorda.villosa	Plagionotus.detritus	Mordella.brachyura	Orthocis.lucasi	Rhizophagus.fenestralis	Pseudeuparius.sepicola	Agrilus.hastulifer	Agrilus.obscuricollis	Scolytus.carpini	Phloiotrya.tenuis	Dromaeolus.barnabita	Synchita.undata	Isorhipis.melasoides	Isorhipis.marmottani	Leiopus.femoratus	Xylotrechus.antilope	Triplax.lepida	Cis.pygmaeus	Gnorimus.nobilis	Agrilus.laticornis	Anaspis.maculata	Dendrophilus.punctatus	Rhaphitropis.oxyacanthae	Agrilus.olivicolor	Anthaxia.ignipennis	Poecilium.rufipes	Dasytes.aeratus	Paratillus.carus	Ampedus.rufipennis	Attagenus.punctatus	Bitoma.crenata	Cis.comptus	Cis.fusciclavis	Cis.rugulosus	Dermestes.bicolor	Diplocoelus.fagi	Dorcatoma.minor	Eidophelus.fagi	Hemicoelus.costatus	Leptura.aurulenta	Lichenophanes.varius	Melandrya.caraboides	Mycetophagus.fulvicollis	Nematodes.filum	Platysoma.compressum	Plegaderus.dissectus	Rhagium.mordax	Rhizophagus.perforatus	Stictoleptura.scutellata	Symbiotes.gibberosus	Synchita.separanda	Taphrorychus.bicolor	Tillus.elongatus	Melasis.buprestoides	Anaglyptus.mysticus	Dorcatoma.substriata	Eucnemis.capucina	Gnathoncus.buyssoni	Xylotrechus.arvicola	Ampedus.quercicola	Anaspis.lurida	Cerambyx.scopolii	Cerylon.fagi	Dasytes.caeruleus	Endophloeus.markovichianus	Gasterocercus.depressirostris	Hemicoelus.fulvicornis	Lucanus.cervus	Melandrya.barbata	Potosia.fieberi	Ptinomorphus.imperialis	Allecula.rhenana	Mycetophagus.populi	Triplax.rufipes	Stenocorus.meridianus	Mycetophagus.multipunctatus	Ptilinus.pectinicornis	Triplax.russica	Necydalis.ulmi	Hylesinus.crenatus	Hylesinus.wachtli	Anobium.hederae	Anobium.inexspectatum	Choragus.sheppardi	Kissophagus.vicinus	Mesocoelopus.niger	Globicornis.fasciata	Mordellistena.variegata	Variimorda.mendax	Scolytus.rugulosus	Alphitophagus.bifasciatus	Hololepta.plana	Trypophloeus.granulatus	Abdera.biflexuosa	Aspidiphorus.lareyniei	Obrium.cantharinum	Euglenes.oculatus	Cerylon.deplanatum	Hoshihananomia.gacognei	Trypophloeus.binodulus	Mordellistena.neuwaldeggiana	Lathropus.sepicola	Aegomorphus.francottei	Agrilus.angustulus	Agrilus.sulcicollis	Anaspis.fasciata	Atomaria.analis	Cartodere.bifasciata	Cerambyx.cerdo	Cetonia.aurata	Cetonischema.speciosissima	Chrysobothris.affinis	Cis.striatulus	Cis.vestitus	Cis.villosulus	Clerus.mutillarius	Clytus.tropicus	Conopalpus.brevicollis	Coraebus.undatus	Cortodera.humeralis	Cryptarcha.strigata	Cryptarcha.undata	Cryptophilus.integer	Cyclorhipidion.bodoanum	Dasytes.nigrocyaneus	Dasytes.pauperculus	Deroplia.genei	Dorcatoma.androgyna	Dorcatoma.chrysomelina	Dryocoetes.villosus	Eulagius.filicornis	Exocentrus.adspersus	Gastrallus.immarginatus	Gnathoncus.rotundatus	Grammoptera.abdominalis	Grammoptera.ruficornis	Hedobia.pubescens	Lymexylon.navale	Melanopsacus.grenieri	Microrhagus.pyrenaeus	Mycetophagus.piceus	Notolaemus.unifasciatus	Orchesia.undulata	Orthocis.alni	Oxylaemus.cylindricus	Oxylaemus.variolosus	Pedostrangalia.revestita	Pentaphyllus.testaceus	Phaeochrotes.pudens	Platypus.cylindrus	Poecilium.alni	Poecilium.pusillum	Potosia.cuprea	Pseudosphegesthes.cinerea	Pyrrhidium.sanguineum	Rhagium.sycophanta	Ropalopus.femoratus	Salpingus.tapirus	Scolytus.intricatus	Soronia.oblonga	Taphrorychus.villifrons	Teredus.cylindricus	Tomoxia.bucephala	Tribolium.castaneum	Trichoferus.pallidus	Trox.scaber	Xyleborus.monographus	Xylopertha.retusa	Dorcus.parallelipipedus	Leiopus.linnei	Platystomos.albinus	Phymatodes.testaceus	Mesosa.nebulosa	Ampedus.nigerrimus	Meliboeus.fulgidicollis	Xyleborus.dryographus	Agrilus.graminis	Brachygonus.ruficeps	Chlorophorus.glabromaculatus	Brachygonus.megerlei	Calambus.bipustulatus	Cariderus.aeneus	Colydium.elongatum	Conopalpus.testaceus	Cryptolestes.duplicatus	Hyperisus.plumbeum	Procraerus.tibialis	Tritoma.bipustulata	Trypodendron.signatum	Lissodema.denticolle	Anoplodera.rufipes	Tropideres.albirostris	Vincenzellus.ruficollis	Callimus.angulatus	Plagionotus.arcuatus	Oligomerus.brunneus	Abdera.quadrifasciata	Hemicrepidius.hirtus	Silvanus.unidentatus	Symbiotes.latus	Anisoxya.fuscula	Gastrallus.laevigatus	Gnathoncus.communis	Orthocis.coluber	Xestobium.rufovillosum	Mesosa.curculionoides	Scraptia.fuscula	Pogonocherus.hispidus	Brachygonus.bouyoni	Sulcacis.bidentulus	Ampedus.pomonae	Abraeus.roubali	Agrilus.viridis	Soronia.grisea	Agrilus.cinctus	Phloeotribus.rhododactylus	Phloeotribus.sharpi	Colobicus.hirtus	Eidophelus.caucasicus	Ernoporus.tiliae	Hylastinus.obscurus	Scolytus.pygmaeus	Scolytus.scolytus	Hemicoelus.canaliculatus	Ctesias.serra	Ennearthron.cornutum	Opilo.mollis	Anaspis.frontalis	Anaspis.flava	Attagenus.pellio	Placonotus.testaceus	Aspidiphorus.orbiculatus	Monotoma.longicollis	Globicornis.nigripes	Clytus.arietis	Cerylon.ferrugineum	Dacne.bipustulata	Dorcatoma.setosella	Hylis.olexai	Latridius.hirtus	Megatoma.undata	Platycerus.caraboides	Prionocyphon.serricornis	Aulonothroscus.brevicollis	Cis.micans	Monotoma.picipes	Rutpela.maculata	Stenagostus.rhombeus	Salpingus.planirostris	Salpingus.ruficollis	Rhizophagus.bipustulatus	Litargus.connexus	Cerylon.histeroides	Opilo.pallidus	Pyrochroa.coccinea	Tenebroides.fuscus	Anthrenus.fuscus	Anthrenus.pimpinellae	Attagenus.unicolor	Carcinops.pumilio	Cryptolestes.pusillus	Nacerdes.carniolica	Alphitobius.diaperinus	Gnathoncus.nidorum	Palorus.depressus	Ampedus.elongatulus	Anisandrus.dispar	Cardiophorus.vestigialis	Lygistopterus.sanguineus	Paromalus.flavicornis	Pycnomerus.terebrans	Xylosandrus.germanus	Liocola.marmorata	Platydema.violacea	Ampedus.pomorum	Coxelus.pictus	Melanotus.villosus	Nemozoma.elongatum	Corticeus.suberis	Aplocnemus.impressus	Tilloidea.unifasciata	Anthrenus.scrophulariae	Xyleborinus.saxesenii	Cis.festivus	Ampedus.balteatus	Ahasverus.advena	Gonodera.luperus	Typhaea.stercorea	Uleiota.planatus	Rhopalodontus.perforatus	Cryptolestes.ferrugineus	Prionychus.fairmairii	Silvanoprus.fagi	Cartodere.constricta	Dermestes.lardarius	Dermestes.murinus	Dermestes.undulatus	Allonyx.quadrimaculatus	Hylis.simonae	Eucinetus.haemorrhoidalis	Dermestes.mustelinus	Leptophloeus.alternans	Pediacus.dermestoides	Clambus.simsoni	Aulonium.ruficorne	Nalassus.laevioctostriatus	Anthribus.nebulosus	Cartodere.delamarei	Monotoma.bicolor	Psilothrix.viridicoerulea	Tolida.artemisiae	Ipidia.binotata	Berginus.tamarisci	Cryptolestes.corticinus	Allandrus.therondi	Thanasimus.formicarius	Rhagium.bifasciatum	Anaspis.sp.	Anthrenus.sp.	Aplocnemus.sp.	Attagenus.sp.	CLAMBIDAE	Clambus.sp.	Colydium.noblecourti	Corticariinae	CORYLOPHIDAE	Cryptolestes.sp.	Enicmus.sp.	Epuraea.sp.	Malthininae	Phloeotribus.sp.	PTILIIDAE	Rhizophagus.sp.	Stagetus.sp.	Symbiotes.sp.	Thanasimus.sp.	Xyletinus.sp.
Troncais	3	3	118	Troncais33	intra.inf	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	2	1	0	2	0	0	4	0	0	0	0	0	0	0	15	1	6	0	0	0	0	9	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	3	0	2	0	1	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	1	0	1	0	0	2	1	0	0	3	1	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	41	0	0	17	0	0	0	0	0	0	0	0	0
Troncais	3	4	118	Troncais34	infra	0	4	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	2	0	1	0	0	0	0	7	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	24	3	0	12	0	0	0	0	0	0	0	0	0
Troncais	4	1	207	Troncais41	supra	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	2	0	0	0	1	6	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	24	0	0	0	2	0	2	9	0	0	2	1	0	0	0	1	1	1	5	0	10	0	0	0	0	42	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	6	0	0	3	0	0	1	0	1	0	1	0	1	0	0	0	25	0	0	0	0	0	2	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	20	3	0	3	0	0	0	1	0	0	0	0	0
Troncais	4	2	207	Troncais42	intra.sup	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	4	0	0	2	6	0	1	0	0	0	0	3	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	4	0	0	1	0	0	0	0	0	3	0	2	0	9	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	25	0	0	9	0	0	0	0	0	0	0	0	0
Troncais	4	3	207	Troncais43	intra.inf	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	2	0	8	0	0	0	0	0	0	0	0	0
Troncais	4	4	207	Troncais44	infra	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	1	1	12	1	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	4	0	0	0	13	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	1	0	14	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	7	2	0	16	0	0	0	0	0	0	0	0	0
Troncais	5	1	315	Troncais51	supra	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	3	0	3	4	0	0	6	6	0	0	1	0	0	0	4	2	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	8	0	0	1	0	3	0	6	0	0	1	2	0	8	0	0	0	1	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	2	1	0	0	0	0	0	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	1	0	0	0	0	2	0	10	2	0	0	0	0	0	2	0	0	0	0	0
Troncais	5	2	315	Troncais52	intra.sup	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	2	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	2	0	2	3	0	0	5	2	0	0	1	2	2	0	28	1	19	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	0	0	6	0	0	0	0	2	0	1	0	2	0	0	0	10	0	0	0	1	3	3	0	0	0	1	0	1	1	5	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	4	0	0	0	0	0	0	18	2	0	2	0	0	0	0	0	0	0	0	0
Troncais	5	3	315	Troncais53	intra.inf	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	1	0	6	0	5	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	28	0	0	21	0	0	0	0	0	0	0	0	0
Troncais	5	4	315	Troncais54	infra	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	3	0	6	4	1	2	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	6	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	34	0	0	5	0	0	0	0	0	0	0	0	0
Troncais	6	1	327	Troncais61	supra	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	29	0	0	0	1	0	0	10	0	0	5	1	0	0	2	0	0	0	5	0	18	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	2	0	1	0	0	0	0	0	22	0	0	0	1	0	2	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	2	0	0	0	0	0	5	1	0	0	0	0	0	1	1	0	0	9	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	1	0	0	2	1	0	0	0	0	0	0	25	0	0	2	0	0	0	1	0	0	0	0	0
Troncais	6	2	327	Troncais62	intra.sup	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	4	0	0	0	0	6	0	2	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	1	1	8	0	0	7	3	0	1	0	2	1	0	38	0	22	0	0	0	0	16	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	11	1	0	1	0	19	0	0	0	3	0	5	0	3	0	0	0	0	1	2	0	0	0	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	2	0	0	11	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	1	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	18	0	0	17	0	0	0	1	0	0	0	0	0
Troncais	6	3	327	Troncais63	intra.inf	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	2	1	0	0	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0	7	0	22	0	0	0	0	4	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	0	4	0	1	0	0	0	6	0	0	0	0	1	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	9	0	0	0	1	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	2	4	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	24	0	0	30	0	1	0	0	0	0	0	0	0
